Job Title,Company Name,Location,Skills
Python Developer,Integrated Technology Group -,"Heliopolis, Cairo, Egypt",Full TimeExperienced  2 - 4 Yrs of Exp  IT/Software Development  ML  Python  TensorFlow  PyTorch
Senior Python Developer,DAF Holding -,"Cairo, Egypt",Full TimeExperienced  4 - 5 Yrs of Exp  IT/Software Development  Python  AI  Odoo  Odoo ERP  Software Development
Python Web Developer - Graduate Position,Holix -,"Cairo, Egypt",Full TimeEntry Level  0 - 3 Yrs of Exp  IT/Software Development  Python  Software Development  Software  CSS  Web Development
Application Development Lead - Dot Net + Python,Antal International - Egypt -,"Cairo, Egypt",Full TimeNot specified  IT/Software Development  Sales/Retail  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Software Development  Software Engineering  Computer Engineering  SQL  javaScript
Senior Python / Docker / Flask developer,GetTechForce.com -,"Cairo, Egypt",Full TimeWork From HomeManager  3+ Yrs of Exp  IT/Software Development  Python  Flask  Docker  Kubernetes  ASGI Frameworks.  Grafana  Prometheus  Microservices
Senior Python Developer,FlairsTech -,"Cairo, Egypt",Full TimeExperienced  3 - 7 Yrs of Exp  IT/Software Development  senior  Python Developer  Software Development  Computer Science  Python  Information Technology (IT)  Networking  CCNA
Back End Lead - .Net + Python OR Node,Confidential -,"Cairo, Egypt",Full TimeManager  4 - 10 Yrs of Exp  IT/Software Development  Agile  API  MongoDB  MySQL  Python  Software  .Net  dot net  Software Engineering
Senior Python Developer (Django),InnovaDigits -,"Cairo, Egypt",Full TimeWork From HomeExperienced  4 - 7 Yrs of Exp  Business Development  IT/Software Development  Engineering - Telecom/Technology  AWS  Computer Science  Design  Information Technology (IT)  Java  MySQL  PHP
Python Developer,OdooTec -,"New Cairo, Cairo, Egypt",Full TimeExperienced  2+ Yrs of Exp  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  Odoo  Django  CSS  Software Development  Information Technology (IT)  Python  Programming
Python Network Developer,Mercury Visual Solutions  -,"Cairo, Egypt",Full TimeExperienced  1+ Yrs of Exp  IT/Software Development  Information Technology (IT)  VFX  technical
Senior Data Analyst,Cilantro -,"Maadi, Cairo, Egypt",Full TimeExperienced  4 - 6 Yrs of Exp  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Analysis  analytical  Computer Science  Data Analysis  Data Analyst  Data  Programming
Odoo Developer,classera -,"New Cairo, Cairo, Egypt",Full TimeExperienced  3+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Programming  Computer Science  HTML  XML  jQuery  Odoo  PostgreSQL  JavaScript
Senior Full Stack Developer,Robiquity -,"New Cairo, Cairo, Egypt",Full TimeExperienced  3 - 5 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Python  JavaScript  Software Development  CSS  Full Stack  SQL  Web Development
Integration Engineer,Expleo -,"Maadi, Cairo, Egypt",Full TimeExperienced  1 - 6 Yrs of Exp  IT/Software Development  Python  Linux  SQL  Unix  SSL
Technical Lead,Aman -,"6th of October, Giza, Egypt",Full TimeExperienced  4 - 10 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Java  Agile  Angular  JavaScript  React  Software Development  Computer Science  Engineering
